Time, People in lift, Current floor, Floor queue
1, , 5, 
5,,5,2
15,,4,2
25,,3,2 1
35,1,2,1 10
45,2,1,10 8 9
55,2,2,10 8 9
65,2,3,10 8 9
75,2,4,10 8 9
85,2,5,10 8 9
95,2,6,10 8 9 2
105,2,7,10 8 9 2 3
115,2 4 5 6 7 8,8,10 9 2 3 6 4
125,4 5 6 7 8,9,10 2 3 6 4 8
135,5 6 8 3,10,2 3 6 4 8 5
145,5 6 8 3,9,2 3 6 4 8 5 1
155,5 6 8 3 12,8,2 3 6 4 5 1
165,5 6 8 3 12,7,2 3 6 4 5 1
175,5 6 8 3 12 11 15,6,2 3 4 5 1 9 8
185,5 6 8 12 11 15 14,5,2 3 4 1 9 8 6
195,6 8 12 11 15 14,4,2 3 1 9 8 6
205,6 12 11 15 14 10 17,3,2 1 9 8 6 7
215,12 15 14 10 17 9 18 19,2,1 9 8 6 7
225,15 14 10 17 18 19 13,1,9 8 6 7 3
235,15 14 10 17 18 19 13,2,9 8 6 7 3 10
245,15 14 10 17 18 19 13 20,3,9 8 6 7 10
255,15 14 10 17 18 19 13 20,4,9 8 6 7 10
265,15 14 10 17 18 19 13 20,5,9 8 6 7 10 2
275,15 10 17 19 13 20,6,9 8 7 10 2
285,15 19 13 20 23,7,9 8 10 2 6
295,19 13 20 23 24,8,9 10 2 6 7
305,20 23 24 16 22,9,10 2 6 7 4
315,23 24 16 22 21,10,2 6 7 4 9 5
325,23 24 16 22 21 29,9,2 6 7 4 5
335,23 24 16 22 21 29,8,2 6 7 4 5 10
345,23 16 22 21 32,7,2 6 4 5 10
355,23 16 22 21 32 26 30,6,2 4 5 10 3
365,23 16 22 32 30,5,2 4 10 3 8
375,23 32 30 28 33,4,2 10 3 8
385,23 32 28 33,3,2 10 8 9 5
395,32 28 25 27 37,2,10 8 9 5 7
405,32 28 25 27 37,3,10 8 9 5 7
415,32 28 25 27 37,4,10 8 9 5 7 6
425,32 28 25 27 36 38,5,10 8 9 7 6 3 4
435,32 28 25 27 36 38 39,6,10 8 9 7 3 4 5
445,32 28 25 36 38 39,7,10 8 9 3 4 5
455,32 25 36 38 39 34 40,8,10 9 3 4 5 7 2
465,32 36 38 39 34 40 35,9,10 3 4 5 7 2
475,36 38 39 34 40 31 43,10,3 4 5 7 2 1
485,36 38 39 34 40 31 43,9,3 4 5 7 2 1 6
495,36 38 39 34 40 31 43,8,3 4 5 7 2 1 6
505,36 38 39 40 31 43 44,7,3 4 5 2 1 6 10
515,36 38 39 40 31 43 44 46,6,3 4 5 2 1 10 6
525,36 38 40 31 43 44 46 45,5,3 4 2 1 10 6 7
535,36 40 31 43 44 45 42 48,4,3 2 1 10 6 7
545,40 43 45 42 48 41,3,2 1 10 6 7 9
555,43 45 42 48 41 50,2,1 10 6 7 9
565,45 42 48 41 50,1,10 6 7 9
575,45 42 48 41 50,2,10 6 7 9
585,45 42 48 41 50,3,10 6 7 9
595,45 42 48 41 50,4,10 6 7 9
605,45 42 48 41 50,5,10 6 7 9
615,45 42 48 41 47,6,10 7 9
625,42 41 47,7,10 9
635,42 41 47,8,10 9
645,42,9,10
655,49,10,7
665,49,9,7
675,49,8,7
685,,7,
